References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
C1,1,100n,,C0603C104K4RAC7081,KEMET,C0603C104K4RAC7081,KEMET,C0603C104K4RACTU,KEMET,C0603C104M4RACTU,Murata,GCM188R71C104KA37D,,,490-4774-6-ND,80C0603C104M4R,2644630,,2522597
C2,1,1n,,VJ0805A102JXACW1BC,Würth Elektronik,885012007040,Würth Elektronik,885012007063,Vishay,VJ0805A102JXACW1BC,,,,,720-1634-6-ND,710885012007063,1927618,,2533866
"D3, D4, D5, D6, D8, D9",6,BAS316,,"BAS316,115",Nexperia,BAS316,Nexperia,"BAS316,115",Nexperia,BAS316Z,,,,,1727-4309-6-ND,771BAS316T/R,3972914,,8734275
IC1,1,TCA9534PWR,Texas Instruments,TCA9534PWR,Texas Instruments,TCA9535PWR,,,,,,,,,296-25129-6-ND,595TCA9535PWR,8143997,,3124760
"K1, K2, K3, K4",4,RT424005,,RT424005,TE Connectivity,5-1393243-9,,,,,,,,,PB1998-ND,655RT424005,,,1629052
"Q1, Q2, Q3, Q4",4,2N7002,,2N7002K-7,ON Semiconductor,2N7002,Diodes Inc.,2N7002K-7,Toshiba,"T2N7002AK,LM",,,,,2N7002K-7DIDKR-ND,5122N7002,6710312,,9845313
"R1, R2, R4, R5",4,100K,,MCWR08X1003FTL,Vishay,CRCW0805100KFKEAC,TE Connectivity,CRG0805F100K,Multicomp,MCWR08X1003FTL,Stackpole Electronics,RMCF0805FT100K,,,RMCF0805FT100KDKR-ND,71CRCW0805100KFKEAC,2230691,,2447551
R11,1,10K,,RC0805FR-0710KL,TE Connectivity,CRG0805F10K,Yageo,RC0805FR-0710KL,,,,,,,311-10.0KCRCT-ND,603RC0805FR0710KL,1251189,,2148862
"X1, X2, X3",3,DS1021-2*10SF11,FCI,77313-802-20LF,,,,,,,,,,,77313-802-20LF-ND,6497731380220LF,,,
X5,1,DS1022-2*20RF11,Amphenol,68020-140HLF,,,,,,,,,,,68020-140HLF-ND,64968020140HLF,,,
"X4, X6, X8",3,DS1023-2*14S21,Sullins,PPTC142LFBN-RC,,,,,,,,,,,S7082-ND,SSQ11401TD,,,
"ZD1, ZD2, ZD3, ZD4",4,SMAJ18A,,SMAJ18A,Bourns,SMAJ18A,Taiwan Semiconductor,SMAJ18A,Diodes Inc.,SMAJ18A-13-F,Vishay,SMAJ18A-E3/61,Bourns,SMAJ18A-Q,SMAJ18A-FDIDKR-ND,621SMAJ18A13F,7103443,,2677644
